threshold,accuracy
4000.0,0.98
3900.0,0.98
3800.0,0.92
3700.0,0.98
3600.0,0.96
3500.0,0.96
3400.0,0.98
3300.0,0.96
3200.0,0.98
3100.0,0.98
3000.0,0.98
2900.0,0.98
2800.0,0.98
2700.0,0.96
2600.0,0.88
2500.0,0.9
2400.0,0.88
2300.0,0.86
2200.0,0.86
2100.0,0.86
2000.0,0.8
1900.0,0.72
1800.0,0.78
1700.0,0.72
1600.0,0.64
1500.0,0.58
1400.0,0.58
1300.0,0.46
1200.0,0.46
1100.0,0.38
4000.0,0.98
3900.0,0.98
3800.0,1.0
3700.0,1.0
3600.0,0.98
3500.0,0.98
3400.0,0.96
3300.0,0.96
3200.0,1.0
3100.0,0.96
3000.0,0.98
2900.0,1.0
2800.0,0.96
2700.0,0.92
2600.0,0.96
2500.0,0.94
2400.0,0.84
2300.0,0.88
2200.0,0.82
2100.0,0.84
2000.0,0.78
1900.0,0.78
1800.0,0.76
1700.0,0.68
1600.0,0.64
1500.0,0.54
1400.0,0.5
1300.0,0.46
1200.0,0.48
1100.0,0.36
4000.0,0.98
3900.0,0.96
3800.0,0.94
3700.0,0.98
3600.0,0.98
3500.0,0.92
3400.0,0.98
3300.0,1.0
3200.0,0.96
3100.0,0.98
3000.0,0.94
2900.0,0.98
2800.0,0.98
2700.0,0.96
2600.0,0.96
2500.0,0.92
2400.0,0.92
2300.0,0.9
2200.0,0.9
2100.0,0.8
2000.0,0.82
1900.0,0.78
1800.0,0.74
1700.0,0.62
1600.0,0.6
1500.0,0.64
1400.0,0.58
1300.0,0.48
1200.0,0.52
1100.0,0.46
4000.0,0.96
3900.0,0.92
3800.0,0.94
3700.0,0.98
3600.0,1.0
3500.0,1.0
3400.0,1.0
3300.0,0.96
3200.0,0.98
3100.0,0.98
3000.0,0.96
2900.0,0.96
2800.0,0.92
2700.0,0.94
2600.0,0.94
2500.0,0.9
2400.0,0.92
2300.0,0.88
2200.0,0.82
2100.0,0.8
2000.0,0.82
1900.0,0.76
1800.0,0.74
1700.0,0.8
1600.0,0.76
1500.0,0.58
1400.0,0.58
1300.0,0.56
1200.0,0.38
1100.0,0.36
4000.0,1.0
3900.0,1.0
3800.0,0.98
3700.0,0.96
3600.0,1.0
3500.0,0.98
3400.0,0.98
3300.0,0.94
3200.0,0.96
3100.0,0.98
3000.0,0.96
2900.0,0.98
2800.0,0.96
2700.0,0.92
2600.0,0.94
2500.0,0.94
2400.0,0.9
2300.0,0.9
2200.0,0.8
2100.0,0.84
2000.0,0.74
1900.0,0.78
1800.0,0.76
1700.0,0.72
1600.0,0.62
1500.0,0.62
1400.0,0.46
1300.0,0.54
1200.0,0.42
1100.0,0.32
4000.0,0.96
3900.0,0.98
3800.0,1.0
3700.0,0.98
3600.0,0.96
3500.0,1.0
3400.0,0.98
3300.0,0.96
3200.0,1.0
3100.0,0.94
3000.0,1.0
2900.0,0.96
2800.0,0.92
2700.0,0.96
2600.0,0.98
2500.0,0.94
2400.0,0.9
2300.0,0.86
2200.0,0.9
2100.0,0.8
2000.0,0.7
1900.0,0.78
1800.0,0.74
1700.0,0.72
1600.0,0.76
1500.0,0.7
1400.0,0.56
1300.0,0.6
1200.0,0.48
1100.0,0.44
4000.0,0.98
3900.0,0.98
3800.0,0.92
3700.0,0.98
3600.0,1.0
3500.0,0.98
3400.0,1.0
3300.0,0.98
3200.0,0.96
3100.0,1.0
3000.0,0.96
2900.0,0.98
2800.0,0.92
2700.0,0.9
2600.0,0.88
2500.0,0.92
2400.0,0.88
2300.0,0.88
2200.0,0.8
2100.0,0.88
2000.0,0.84
1900.0,0.78
1800.0,0.82
1700.0,0.76
1600.0,0.68
1500.0,0.64
1400.0,0.5
1300.0,0.46
1200.0,0.4
1100.0,0.5
4000.0,0.98
3900.0,1.0
3800.0,1.0
3700.0,0.98
3600.0,0.92
3500.0,0.98
3400.0,0.98
3300.0,1.0
3200.0,1.0
3100.0,0.96
3000.0,0.98
2900.0,0.98
2800.0,1.0
2700.0,0.96
2600.0,0.96
2500.0,0.92
2400.0,0.84
2300.0,0.84
2200.0,0.88
2100.0,0.86
2000.0,0.82
1900.0,0.84
1800.0,0.86
1700.0,0.66
1600.0,0.64
1500.0,0.62
1400.0,0.44
1300.0,0.42
1200.0,0.44
1100.0,0.44
4000.0,0.98
3900.0,0.98
3800.0,0.96
3700.0,0.96
3600.0,0.94
3500.0,0.96
3400.0,0.94
3300.0,0.96
3200.0,0.96
3100.0,0.98
3000.0,0.96
2900.0,0.96
2800.0,0.94
2700.0,0.94
2600.0,0.92
2500.0,0.9
2400.0,0.92
2300.0,0.86
2200.0,0.88
2100.0,0.84
2000.0,0.76
1900.0,0.84
1800.0,0.66
1700.0,0.76
1600.0,0.54
1500.0,0.7
1400.0,0.68
1300.0,0.36
1200.0,0.4
1100.0,0.36
4000.0,0.96
3900.0,0.98
3800.0,0.96
3700.0,0.96
3600.0,0.98
3500.0,0.98
3400.0,0.96
3300.0,0.96
3200.0,0.96
3100.0,0.98
3000.0,0.96
2900.0,0.98
2800.0,0.94
2700.0,0.96
2600.0,0.9
2500.0,0.94
2400.0,0.88
2300.0,0.9
2200.0,0.88
2100.0,0.88
2000.0,0.84
1900.0,0.8
1800.0,0.74
1700.0,0.76
1600.0,0.7
1500.0,0.48
1400.0,0.44
1300.0,0.56
1200.0,0.42
1100.0,0.36
4000.0,0.98
3900.0,0.96
3800.0,0.98
3700.0,0.96
3600.0,1.0
3500.0,0.92
3400.0,0.98
3300.0,0.96
3200.0,0.94
3100.0,1.0
3000.0,1.0
2900.0,0.96
2800.0,0.96
2700.0,0.94
2600.0,0.94
2500.0,0.9
2400.0,0.94
2300.0,0.9
2200.0,0.9
2100.0,0.84
2000.0,0.72
1900.0,0.72
1800.0,0.74
1700.0,0.7
1600.0,0.7
1500.0,0.66
1400.0,0.56
1300.0,0.44
1200.0,0.38
1100.0,0.4
